reg_no,length,owner_uuid
MH12MV2238,32 Ft XL,2858977521
TS08UB0912,32 Ft XXL Ft XXL,3829683448
NL01N1062,32 Ft XL,1.36489E+18
MH31FC5772,32 Ft XL,2322831403
NL02Q3665,32 Ft XL,1.27493E+18
MH46BM1524,32 Ft XXL,4180335629
MH14EM1075,22 Ft XL,1.27493E+18
NL01AE0892,32 Ft XXL,1.27493E+18
NL01L9535,32 Ft XXL,1.41376E+18
UP80CT5749,32 Ft XL Ft XL,1358420066
TS08UB5754,32 Ft XL Ft XL,3829683448
UP21CN7421,32 Ft XXL,1115169021
RJ52GA7449,32 Ft XXL,1147749398
HR55AK0121,32 Ft XL,586056444
TN32AM2720,22 Ft XL,1036248846
HR63C6665,32 Ft XL,3083200537
UP75BT2575,32 Ft XL,2475488768
NL01K8899,32 Ft XXL,1.41376E+18
HR38W2616,32 Ft XXL,2148477730
TG12T4199,32 Ft XXL Ft XXL,1617854670
HR55AB1335,32 Ft XXL,620611004
KA02AH4515,32 Ft XL,1.29971E+18
HR55AK0421,32 Ft XL,586056444
PB13BE9459,32 Ft XL,733178906
HR55AU4156,32 Ft XL Ft XL,2463724394
NL01AD3488,32 Ft XL,4246702836
KA52C2761,20 Ft XL Ft XL,283968129
TS07UM5394,32 Ft XXL Ft XXL,2520815654
NL01N3983,32 Ft XL,1.36745E+18
HR38AB9719,32 Ft XL,1.36451E+18
MH04GF8863,24 Ft XXL,2319926946
MH04MH2586,20 Ft XL Ft XL,2596039234
MH04GF9185,24 Ft XXL,2319926946
JH12N9991,32 Ft XXL,1145055287
HR46F1413,32 Ft XXL,632092464
MH14GU3015,32 Ft XXL,1.27493E+18
TS07UK9246,32 Ft XXL Ft XXL,3829683448
RJ10GB6475,32 Ft XXL,93434900
CH01TB7050,32 Ft XL,2838899538
NL01AC5007,32 Ft XXL,744933130
HR63D1145,32 Ft XXL,1.27493E+18
GJ06AZ4524,22 Ft XL Ft XL,3579819533
HR55AR2589,32 Ft XL Ft XL,1993271565
HR55W4777,24 Ft XXL,1230176835
MH14GD4786,32 Ft XXL,1.27493E+18
MH14HG1853,32 Ft XXL,1.27493E+18
UP82T8551,32 Ft XL,4071245200
TG07U3370,32 Ft XXL Ft XXL,3829683448
UP53GT8228,32 Ft XXL,2306105150
UP78HN3338,32 Ft XL Ft XL,3172131726
HR55V3825,32 Ft XL,2858977521
KA02AJ4734,32 Ft XL Ft XL,3598520858
TN59CL5537,22 Ft XL,2516070241
HR55AB1332,32 Ft XXL,2617245338
RJ23GC1955,32 Ft XL,4227050536
JH12M6580,32 Ft XL Ft XL,2122931463
TN42AD8427,32 Ft XXL,1.27493E+18
GJ06AZ4565,22 Ft XL Ft XL,3579819533
MH47Y8415,32 Ft XXL,1.27493E+18
PB13BH6022,32 Ft XL,1.27493E+18
MH04GF8901,24 Ft XXL,2319926946
MH43CK1973,32 Ft XL Ft XL,2126873029
NL01AD5157,32 Ft XL,1.27493E+18
HR55AJ6859,22 Ft XL,1716273455
NL01L3838,32 Ft XXL,1.41376E+18
NL01AE5568,32 Ft XL,1763251974
HR55U4855,32 Ft XL,4244867269
KA01AM3726,32 Ft XL,1.27493E+18
TN24AP4298,32 Ft XXL,1.27493E+18
NL01AE0890,32 Ft XXL,1.27493E+18
TN73AA4092,32 Ft XXL,1.30547E+18
CH01TB7083,32 Ft XL,2838899538
CH01TB2398,32 Ft XXL,2838899538
MH04JK9139,32 Ft XL,1763251974
MH04JK9138,32 Ft XL,1763251974
HR55V7060,32 Ft XL,3988371116
NL01AE7625,32 Ft XL,4112769211
HR46E7548,32 Ft XL,2237557190
GJ06AZ5612,32 Ft XL,2240903050
UP70GT3921,32 Ft XXL,669805311
HR55AG4845,32 Ft XL,3384643862
TN28BK0763,32 Ft XXL,747666665
JH12Q9465,32 Ft XL Ft XL,4020555443
HR55V1321,32 Ft XXL Ft XXL,3648094054
NL01AD5604,32 Ft XXL,1.33805E+18
TS08UF9834,32 Ft XXL,2045484468
KA02AG5823,22 Ft XL,1.29971E+18
HR55AA2287,32 Ft XL,101343703
MH43BG9920,32 Ft XXL,1.27493E+18
PB13AR0694,32 Ft XXL,1.27493E+18
NL01AE0764,32 Ft XL,611100283
MH12UM8091,20 Ft XL,2157509592
HR55AG1985,32 Ft XXL,2058958247
HR68C1384,32 Ft XL,2838899538
KA52A8280,22 Ft XL,1957196680
NL01AF1047,32 Ft XL,1.27493E+18
HR67B5721,32 Ft XXL,1176356331
TN37DW6954,32 Ft XXL,1.2761E+18
HR68B2925,32 Ft XL,2838899538
UP53GT5673,32 Ft XL,2306105150
UP53GT8566,32 Ft XL,2306105150
RJ14GJ9698,32 Ft XXL,1.30222E+18
HR47C9436,32 Ft XXL,3553993300
KA02AE3709,32 Ft XL,1.28381E+18
TG09T0649,24 Ft XXL Ft XXL,2643607360
RJ27GE1377,32 Ft XXL,744933130
RJ27GE0677,32 Ft XXL,744933130
NL01AC4637,32 Ft XXL,1.33853E+18
NL01AE1913,32 Ft XL,1.27493E+18
MH12MV0553,32 Ft XXL,1.27493E+18
NL01AE8649,32 Ft XXL,1.33853E+18
KA01C6227,32 Ft XXL,1.2884E+18
HR68B3074,32 Ft XL,2838899538
TG12T1799,32 Ft XXL Ft XXL,1617854670
RJ32GC6971,32 Ft XL,2827959789
HR38AA3761,32 Ft XXL,1.27544E+18
HR55AF1854,22 Ft XL,1.27493E+18
RJ52GA8420,32 Ft XL,1351573634
TN56K2694,32 Ft XXL,1.27493E+18
MH24AU7433,20 Ft XL,3294668074
TN88H6806,32 Ft XL,1.287E+18
TN13F0081,32 Ft XXL,1.34348E+18
TN14T4848,32 Ft XXL,1.3135E+18
TS08UB6694,32 Ft XXL,1.27493E+18
UP75AT1877,32 Ft XL,2475488768
TN52K7377,32 Ft XXL,153147850
AS01NC1154,32 Ft XXL,2791051512
GJ06AZ5601,32 Ft XL,2240903050
TN30BD2925,32 Ft XXL,3291590255
TS08UF6833,32 Ft XXL,1.28373E+18
MH04HY3796,32 Ft XL,2564900610
NL01AD5174,32 Ft XL,1.27493E+18
MH46AF7828,32 Ft XXL,1.33853E+18
HR38AC4651,32 Ft XL,2770325237
NL01AB2096,32 Ft XL,1.27493E+18
NL01AD9673,32 Ft XL,1763251974
HR74A8742,32 Ft XXL,4271959797
TN21BH0996,32 Ft XXL,1.27493E+18
UP21BN1888,32 Ft XL,872244056
KA51AG4608,22 Ft XL,1861644730
NL01L5395,32 Ft XXL,1.33853E+18
HR56B3687,32 Ft XXXL,598950524
TS08UH4693,32 Ft XXL,1.28373E+18
MH04JK8171,32 Ft XXL,1.27493E+18
HR39D4093,32 Ft XXL,1.27493E+18
TN39CQ8925,32 Ft XXL,1271043962
RJ07GC6533,32 Ft XL,562152118
